81: f57b1b7a2db4	⟦0⟧ erzeugt einen ⟦1⟧ mit programmatisch gewähltem Schweregrad.
82: f5b04dea5cd6	Plattform-Power-State-Anbindung
83: f5bce6a9e3a9	Kontrollpunkt vor einer Update-Änderung
84: f5c32c3eaf14	Der Aufruf ist als exception safe, jedoch nicht als thread-safe spezifiziert.
85: f5e802fe7c20	Das Ergebnis wird als ⟦0⟧ geliefert; ein ⟦1⟧ wird gemeldet, wenn wesentliche DM-Funktionalität aktuell nicht verfügbar ist (rollback_semantics). Der Aufruf ist nicht thread-sicher, jedoch exceptionsicher.
86: f5f3941fdb79	Die Methode ⟦0⟧ blockiert, bis ein Wert oder ein Fehler verfügbar ist, und gibt anschließend nichts zurück. Laut Beschreibung verhält sich die Funktion wie die entsprechende Funktion von ⟦1⟧; danach ist die Instanz nicht mehr gültig (⟦2⟧) ⟦3⟧. Laut Notiz nimmt die Funktion nicht an der Overload-Auflösung teil, wenn C++-Exceptions im Compiler-Toolchain deaktiviert sind.
87: f60abcf2506b	Kopierzuweisung ist gelöscht.
88: f62ea2c2bb87	⟦0⟧ ist Teil der gemeinsamen Krypto-API. Sie unterstützt die Provider- und Kontextschnittstellen dabei, Daten, Fehler, Formate oder Schlüsseloperationen eindeutig zu behandeln. ⟦1⟧
89: f6504383e911	Für die hier dokumentierten Typ- und Vertragsdetails bleiben folgende Referenzen maßgeblich: ⟦0⟧.
90: f66246e98f26	Die Thread-Sicherheit von ⟦0⟧ wird durch den beim Konstruktor gewählten ⟦1⟧ bestimmt ⟦2⟧ ⟦3⟧. Der Cancellation Handler erlaubt die Abfrage des Abbruchstatus und die Registrierung eines Benachrichtigers. Für negative UDS-Antworten ist ein passender Fehler aus ⟦4⟧ zu verwenden ⟦5⟧. Ein wiederholtes Angebot kann ⟦6⟧ liefern ⟦7⟧.
91: f66e8a083b83	⟦0⟧ fasst Eigenschaften zusammen, die eine Diagnostic Conversation identifizieren. Die Instanz ist der Rückgabewert von ⟦1⟧ und dient damit zum Auslesen der aktuellen Identifikationseigenschaften einer aktiven Conversation. Der bereitgestellte Spezifikationsausschnitt definiert keine einzelnen Member oder Operationen der Struktur; er legt ausschließlich diesen Verwendungszweck fest. ⟦2⟧ ⟦3⟧
92: f699f295e5ae	Parameter
93: f6dbe8121092	⟦0⟧ bildet die UDS-Unterfunktion TransmitCertificate (0x29/0x04) als Anwendungsschnittstelle ab. Die Anwendung kann ein oder mehrere übertragene Zertifikate anhand der ⟦1⟧ verarbeiten ⟦2⟧.
94: f6ddd66a9d9f	Der Konstruktor ⟦0⟧ erzeugt ein Skeleton aus einem ⟦1⟧ (⟦2⟧: The identifier of a specific instance of a service) und einem ⟦3⟧ (⟦4⟧: Mode (as per ⟦5⟧) for processing incoming service method invocations. Default argument is kEvent, Standardwert ⟦6⟧) ⟦7⟧. Die Methode ist exception-sicher.
95: f705064455cd	Das Verhalten dieses Elements ist in der Spezifikation nicht eigenständig ausformuliert, sondern über den Verweis auf den ISO-C++-Standardabschnitt ⟦0⟧ definiert; maßgebliches Gegenstück ist ⟦1⟧ (⟦2⟧). Abweichungen gegenüber der std-Semantik laut Spezifikation: Signaturanpassung an ara-Typen („charT replaced with value_type“); anstelle von ⟦3⟧ wird die Violation ⟦4⟧ ausgelöst (Bedingung laut Spezifikation: „if ( size() &gt; n + max_size() )“). Anders als die abfangbare std-Ausnahme ist eine Violation nicht behandelbar: Sie gilt als verletzte Vor-/Nachbedingung (⟦5⟧) und führt zur abnormalen Prozessbeendigung über ⟦6⟧ (⟦7⟧).
96: f716a83706c2	Das Verhalten dieses Elements ist in der Spezifikation nicht eigenständig ausformuliert, sondern über den Verweis auf den ISO-C++-Standardabschnitt ⟦0⟧ definiert; maßgebliches Gegenstück ist der entsprechende Konstruktor von ⟦1⟧ (⟦2⟧). Abweichungen gegenüber der std-Semantik laut Spezifikation: die Funktion ist ⟦3⟧ deklariert und meldet Fehler daher nicht über Exceptions.
97: f72eddd3d8c4	Subscription vorher bestätigen
98: f752c15b05dc	Semantik von GetTsyncFvmErrorDomain
99: f760bb51e413	Der Konstruktor bindet einen PortPrototype der ⟦0⟧ und nimmt die Nebenläufigkeitsvorgabe entgegen. ⟦1⟧ ⟦2⟧ aktiviert und ⟦3⟧ deaktiviert die Weiterleitung durch den DM. Ein Offer kann ⟦4⟧ oder ⟦5⟧ liefern. ⟦6⟧ ⟦7⟧ Der Destruktor ist ausnahmesicher. ⟦8⟧
100: f76f89059019	⟦0⟧, ⟦1⟧, ⟦2⟧, ⟦3⟧ und ⟦4⟧ erlauben Status- und Inhaltszugriff. ⟦5⟧ transformiert einen enthaltenen Wert durch eine Callable in ein neues Result, während ⟦6⟧ für den Fehlerfall eine Funktion aufruft. ⟦7⟧ ⟦8⟧ ⟦9⟧ ⟦10⟧ ⟦11⟧ ⟦12⟧ ⟦13⟧
101: f7789f85c21c	Für diese Methode sind keine standardisierten Fehler festgelegt. Ob die Implementierung thread- oder nicht-threadsicher sein muss, legt der im Konstruktor übergebene ⟦0⟧ fest; die Methode ist exception-safe.
102: f79f6a55b918	Der Move-Konstruktor ⟦0⟧ übernimmt den Zustand eines anderen ⟦1⟧-Objekts ⟦2⟧ per Verschiebung ⟦3⟧.
103: f7b0f5400fd3	Aufruferregel
104: f7ea168d30f1	Semantik von RegisterTimeLeapNotifier
105: f7ec73bb1230	Unterbindet IdsM-Aufrufe von ModifyContextData. ⟦0⟧
106: f7f4202c6d78	⟦0⟧ macht Wechsel eines konfigurierten Betriebszyklus anwendungsseitig sichtbar. Der DM verwendet Operation-Cycles in der Eventstatus- und Fehlerspeicherverarbeitung; der Zyklus ist damit der zeitliche Kontext, in dem Testresultate und bestimmte Statusbits interpretiert werden ⟦1⟧ ⟦2⟧.
107: f803d05e4d01	Wird für ⟦0⟧ mit ⟦1⟧ aufgerufen; liefert asynchron über ein ⟦2⟧ die zu verwendende Zugriffsstrategie sowie die an den UDS-Client zu meldende Verzeichnisgröße oder einen negativen UDS-NRC-Wert. ⟦3⟧
108: f80dd1fb1000	Fehlercodes der IdsmErrorDomain.
109: f821e546a92b	Konstruktor von ⟦0⟧ für Monitore ohne Entprellung; bindet die Instanz über einen ⟦1⟧ und erlaubt die Registrierung eines ⟦2⟧-Callbacks. ⟦3⟧
110: f8263123152c	Generisches DID-Muster
111: f84dc966f164	Die Methode ⟦0⟧ auf einer Instanz von ⟦1⟧ beendet das Anbieten des zugehörigen Service durch das Skeleton-Objekt und liefert keinen Rückgabewert ⟦2⟧. Der Aufruf ist als exception-safe deklariert, sodass keine C++-Exception aus dem Aufruf resultiert ⟦3⟧.
112: f857a03d6b5d	⟦0⟧ — Index ist ungültig.
113: f8701f36e6a3	Das Verhalten dieses Elements ist in der Spezifikation nicht eigenständig ausformuliert, sondern über den Verweis auf den ISO-C++-Standardabschnitt ⟦0⟧ definiert; maßgebliches Gegenstück ist die gleichnamige freie Funktion ⟦1⟧ für ⟦2⟧ (⟦3⟧). Abweichungen gegenüber der std-Semantik laut Spezifikation: Signaturanpassung an ara-Typen („Arg#1=std::string&amp; replaced with ara::core::String &amp;“).
114: f87cc0dd3a6d	<strong>API- und Quellennachweise:</strong> ⟦0⟧ ⟦1⟧ ⟦2⟧ ⟦3⟧ ⟦4⟧ ⟦5⟧ ⟦6⟧ ⟦7⟧ ⟦8⟧ ⟦9⟧ ⟦10⟧ ⟦11⟧ ⟦12⟧ ⟦13⟧ ⟦14⟧ ⟦15⟧ ⟦16⟧ ⟦17⟧ ⟦18⟧
115: f8ad827fdbd5	Für den normalen Anwendungspfad ist der ⟦0⟧ stabiler; die Runtime-Auflösung übernimmt die Bindungswahl aus dem Manifest. ⟦1⟧ begründet diese Empfehlung.
116: f8be141aa83d	Ergänzende, bereits verknüpfte Spezifikationsbelege zu dieser API: ⟦0⟧, ⟦1⟧, ⟦2⟧, ⟦3⟧, ⟦4⟧, ⟦5⟧, ⟦6⟧, ⟦7⟧, ⟦8⟧, ⟦9⟧, ⟦10⟧, ⟦11⟧, ⟦12⟧, ⟦13⟧, ⟦14⟧, ⟦15⟧, ⟦16⟧, ⟦17⟧, ⟦18⟧, ⟦19⟧, ⟦20⟧, ⟦21⟧, ⟦22⟧, ⟦23⟧, ⟦24⟧, ⟦25⟧, ⟦26⟧, ⟦27⟧, ⟦28⟧, ⟦29⟧.
117: f8cdd8c64b48	Der Rückgabewert ist ein ⟦0⟧: bei Erfolg ein leerer Wert, sonst ein ⟦1⟧-Fehler, insbesondere ⟦2⟧, wenn ARA aktuell nicht initialisiert ist bzw. bereits deinitialisiert wurde oder nie initialisiert wurde.
118: f926bed3d8a1	Für StateMachine-Steuerung bei ⟦0⟧ beginnen.
119: f93699180f04	Diese Skeleton-Trigger-Klasse wird für jedes als Trigger modellierte Element aus dem ServiceInterface-Modell des ARXML-Manifests erzeugt und im Header ⟦0⟧ bereitgestellt. Sie ist für die eigene, von der generierten Skeleton-Klasse abgeleitete Service-Implementierung bestimmt; diese überschreibt die reinen virtuellen Methoden des Skeletons, wird mit InstanceSpecifier instanziiert und über ⟦1⟧ angeboten beziehungsweise mit ⟦2⟧ beendet. ⟦3⟧
120: f93df14f05ce	Aktivitätsdiagramm: Der logische ⟦0⟧ wird gegen das Manifest auf eine oder mehrere bindungsspezifische IDs abgebildet. Quelle: ⟦1⟧.
