feature_id	title	baseline_planning_disposition	owner	revisit_trigger
0046	Architect-Owned Worktree Topology and Integrator-Owned Integration Plans	deferred	0046-05	pinned migration run after 0046-04
0044	Process Improvement: Integration Policy, Architecture Process, and Capability-Based Task Matching	deferred	0046-05	pinned migration run after 0046-04
0043	Reporting: Continuous Build Evidence and Current Reports	deferred	0046-05	pinned migration run after 0046-04
0041	Worker Isolation by Clone/Push and Simplified Check-in Semantics	deferred	0046-05	pinned migration run after 0046-04
0039	Process improvement	deferred	0046-05	pinned migration run after 0046-04
0038	Transactional Task Work, Reliable Evidence, and Chore Automation	deferred	0046-05	pinned migration run after 0046-04
0037	Git-Native Issue Store, Provenance Graph, and Backlog Migration	deferred	0046-05	pinned migration run after 0046-04
0035	Review-Request Dialog: Submit Defect, Storage Reuse, Evidence Usability	deferred	0046-05	pinned migration run after 0046-04
0034	Requirement Field Extraction: Wrapped Label Handling	deferred	0046-05	pinned migration run after 0046-04
0033	Website Review Request Contract and End-to-End Remediation	deferred	0046-05	pinned migration run after 0046-04
0020	Automotive ECU Level 1 Scope, Responsibility, and Evidence Boundary	deferred	0046-05	pinned migration run after 0046-04
0027	ECU Management and Supporting Process Performance	deferred	0046-05	pinned migration run after 0046-04
0022	ECU System Process Interface and Trace Foundation	deferred	0046-05	pinned migration run after 0046-04
0028	Conditional ECU Requirements Elicitation Process Performance (SYS.1)	deferred	0046-05	pinned migration run after 0046-04
0029	Conditional ECU System Requirements Analysis Process Performance (SYS.2)	deferred	0046-05	pinned migration run after 0046-04
0030	Conditional ECU System Architectural Design Process Performance (SYS.3)	deferred	0046-05	pinned migration run after 0046-04
0031	Conditional ECU System Integration and Integration Verification Process Performance (SYS.4)	deferred	0046-05	pinned migration run after 0046-04
0032	Conditional ECU System Verification Process Performance (SYS.5)	deferred	0046-05	pinned migration run after 0046-04
0023	ECU Software Engineering Process Performance (SWE.1–SWE.6)	deferred	0046-05	pinned migration run after 0046-04
0024	ECU Product Release Process Performance (SPL.2)	deferred	0046-05	pinned migration run after 0046-04
0025	Automotive ECU Level 1 Pilot Assessment and Closure	deferred	0046-05	pinned migration run after 0046-04
0026	Conditional ECU Intended-Use Validation Process Performance (VAL.1)	deferred	0046-05	pinned migration run after 0046-04
0011	Automotive SPICE CL2 Assessment Method and Governance Foundation	deferred	0046-05	pinned migration run after 0046-04
0012	Managed Process Performance (PA 2.1 and MAN.3)	deferred	0046-05	pinned migration run after 0046-04
0013	Stakeholder and Software Requirements with Lifecycle Traceability	deferred	0046-05	pinned migration run after 0046-04
0014	Lifecycle-Level Verification, Intended-Use Validation, and Quality Assurance	deferred	0046-05	pinned migration run after 0046-04
0015	Work-Product and Configuration Management (PA 2.2 and SUP.8)	deferred	0046-05	pinned migration run after 0046-04
0016	Problem Resolution, Change Request, and Product Release Control	deferred	0046-05	pinned migration run after 0046-04
0017	Risk Management, Measurement, and Management Review	deferred	0046-05	pinned migration run after 0046-04
0018	Automotive ECU SPICE CL2 Pilot, Internal Assessment, and Readiness Closure	deferred	0046-05	pinned migration run after 0046-04
0019	Eclipse S-Core Database Import	deferred	0046-05	pinned migration run after 0046-04
0007	Database Quality Assurance	deferred	0046-05	pinned migration run after 0046-04
