1: edcaf9aaa282	Typ
2: edd70947e4e9	Für geschützte Daten hält das Sample einen ⟦0⟧. Er ist die Auswertung des betreffenden Samples und muss getrennt vom globaleren Zustand bzw. einer Transportfehlerbehandlung betrachtet werden. ⟦1⟧ und ⟦2⟧ belegen Zugriff und Aktualisierung.
3: edec7e85f916	Die von ⟦0⟧ gelieferte maximale Blockgröße und Transfer-ID unverändert verwenden.
4: ee09afd450d9	⟦0⟧ bündelt die Fehlerdomäne, ihre Fehlerwerte und Funktionen zum Aufbau von ⟦1⟧. Diese Typen sollten an Ergebnisgrenzen ausgewertet werden, bevor spezialisierte S2R- oder Dienstfehler behandelt werden. ⟦2⟧ ⟦3⟧
5: ee14aaa33770	Angebot, Antwort und Eskalation
6: ee23d22fa54f	Semantik von RegisterSynchronizationStateChangeNotifier
7: ee3c7d20b826	Aktivitätsdiagramm: Sichtbar wird eine Service-Instanz erst nach ⟦0⟧; der beim Konstruktor gewählte Modus bestimmt die Verarbeitung. Quelle: ⟦1⟧ und ⟦2⟧.
8: ee43001b1db4	Bei E2E-geschützten Events werden Statusinformationen über ⟦0⟧ zugänglich. Consumer legen deshalb vorab fest, welche Profilstatus sie fachlich akzeptieren und wie sie Transportfehler melden oder degradieren. ⟦1⟧ beschreibt die Event-spezifische Behandlung.
9: ee4daa3a5e0c	Kopieren und Verschieben einschließlich Zuweisung sind unterbunden ⟦0⟧ ⟦1⟧ ⟦2⟧ ⟦3⟧. Die von ⟦4⟧ und ⟦5⟧ gelieferten Zeichenzeiger verbleiben im Besitz der Domäne beziehungsweise ihrer Unterklasse und dürfen von Clients nicht freigegeben werden ⟦6⟧ ⟦7⟧.
10: ee51b4aefd7f	Klasse zum Bereitstellen von Reporting Modes für IdsM.
11: ee7d16ec236f	⟦0⟧ bündelt Operationen auf mehreren Diagnosebedingungen ⟦1⟧. ⟦2⟧ liest den Zustand einer angeforderten Bedingung asynchron, ⟦3⟧ setzt ihn ⟦4⟧ ⟦5⟧.
